mcEdepQuenched,BerekelyAlphaBeta
0.0614635,10.6369
0.061675,-1.00806
0.0612839,-2.00024
0.0619986,0.6707
0.0618254,2.99031
0.06195,2.24598
0.0626389,-0.334896
0.0612986,-1.57525
0.0628932,0.157632
0.060875,0.191585
0.0609832,-2.59256
0.0609549,-1.62752
0.0616359,2.9013
0.0631449,6.2795
0.0601276,1.09627
0.0613608,-2.09997
0.0613778,0.94038
0.0615053,9.62418
0.0615587,-1.22515
0.0621252,-1.33792
0.0616158,-0.715343
0.0632509,1.61127
0.0627072,9.09186
0.0639642,6.446
0.0612459,0.323635
0.0615718,-0.272906
0.064165,0.773361
0.0624259,0.341188
0.0627319,1.86512
0.0651717,-0.919923
0.0629704,0.88926
0.0617404,2.4339
0.0619057,2.36677
0.0626301,0.159214
0.0628731,2.08899
0.0627686,4.81485
0.0620133,4.2337
0.0615848,3.34618
0.0617878,15.672
0.0625027,3.07843
0.0603338,-3.62005
0.0627299,6.77463
0.0642547,-2.51049
0.0634227,0.7467
0.062761,4.94249
0.0620538,0.372979
0.0636575,1.4086
0.0627471,7.53429
0.0644229,-0.204209
0.0607441,0.930239
0.0614172,1.74362
0.062055,2.03975
0.0629061,2.3558
0.0623154,2.0613
0.0634013,7.37314
0.0639553,3.2982
0.0619651,-2.05024
0.0608716,-5.67566
0.0615601,-4.40829
0.0634865,-0.376911
0.0621602,-2.04022
0.0614532,2.14973
0.060403,4.93661
0.0627506,-5.36137
0.0637029,1.84764
0.0610661,-0.820098
0.062844,-2.98577
0.0645374,-0.027569
0.0632849,-0.0465533
0.0615435,-0.469688
0.0633615,-0.475902
0.0610696,3.23769
0.0627131,6.08391
0.0629806,3.85708
0.0636031,7.37687
0.0623155,4.0368
0.0608554,6.08975
0.0630728,-0.481004
0.0631721,5.70434
0.0617361,1.07327
0.0610941,0.497622
0.0632578,2.1603
0.0617297,-5.2168
0.0620051,-1.16446
0.0629952,-1.16109
0.0621183,5.03399
0.060598,1.38695
0.0607367,-1.98701
0.0620193,-0.924503
0.0635615,3.83686
0.0617959,0.564624
0.0649053,2.28109
0.0610483,1.21449
0.0636209,0.620181
0.0627414,4.63903
0.0616952,-1.53904
0.0628094,-1.76124
0.0611502,-1.20798
0.0630105,0.0860121
0.0612924,1.86999
0.0627447,-2.66159
0.0600158,-0.408552
0.0622216,1.68299
0.0601335,-3.35365
0.0610098,-2.13469
0.0626459,1.16259
0.0617107,2.06974
0.061925,0.00180746
0.0633554,2.62037
0.060893,0.43798
0.0640122,-0.462679
0.0629746,2.28766
0.0632117,3.38788
0.0625198,5.50253
0.0622769,2.34352
0.0640388,-2.41788
0.0610885,-2.73404
0.0614382,2.49754
0.0630824,-0.0233454
0.0609253,2.45036
0.0615292,-1.98186
0.0618978,1.09592
0.06419,-0.00290844
0.0634881,1.93265
0.0627078,0.00324255
0.061459,1.97849
0.0618672,2.42153
0.0613057,0.770336
0.0610814,4.19005
0.0627265,-2.74782
0.0605441,-2.83491
0.0617306,-1.6077
0.0609622,1.55178
0.0628507,-2.48851
0.0608226,-2.25697
0.0610635,4.35294
0.0617081,-4.91833
0.0617233,0.672526
0.0630817,2.79252
0.0621867,0.539922
0.0607984,0.589048
0.0645286,4.44436
0.0612141,0.959673
0.0622492,0.451591
0.064721,-1.27139
0.0620173,-3.08692
0.0617842,3.8206
0.0617022,3.21911
0.0609784,2.07915
0.0606491,-0.048834
0.062352,-0.956027
0.0622405,2.18263
0.0634388,-0.46302
0.0625424,-3.3186
0.0626671,6.12319
0.0623085,0.833376
0.0602207,0.572342
0.0619991,7.18727
0.060683,-4.31165
0.0648119,1.25574
0.0621678,-0.801174
0.0622974,-4.43741
0.0623346,4.94881
0.0624586,0.0333111
0.0627277,0.573275
0.0605976,2.60227
0.0658279,2.2069
0.0644346,-1.97981
0.0615218,0.00262392
0.0618613,1.65588
0.0627369,-0.622374
0.0615885,-9.9038
0.0616453,2.56226
0.0626691,4.99581
0.0624928,3.72531
0.063041,3.30934
0.0615198,0.923557
0.0636097,7.09311
0.0607101,0.510761
0.0625691,-1.2453
0.060728,5.65749
0.0619529,5.25673
0.062485,3.55617
0.0622189,2.74793
0.0626358,7.30184
0.0642884,-0.590154
0.063395,0.111714
0.0604636,2.92826
0.0641138,3.04627
0.062469,0.278652
0.0635564,3.0041
0.0624543,0.637357
0.0639815,0.227478
0.0629022,-5.07568
0.0624725,0.718015
0.0616755,-2.40829
0.0614591,5.58555
0.0622685,-0.133045
0.0644492,-2.00841
0.0620748,1.80216
0.0629373,4.97456
0.0634989,0.814204
0.0614608,-0.0359739
0.0628493,-0.584581
0.0601267,-2.82369
0.062799,1.52941
0.0621865,1.82221
0.0605213,0.692401
0.062829,-2.42665
0.0604039,3.71634
0.0620097,4.52402
0.0627437,2.17009
0.0625757,4.23419
0.0604803,0.592432
0.0653046,2.20313
0.0632979,3.14758
0.0636594,-0.341648
0.0613457,-1.23894
0.0621759,2.26938
0.0608939,-0.0551129
0.0629949,-3.85818
0.0606543,6.84142
0.0624166,-1.17336
0.061253,6.05011
0.0615688,1.3665
0.0623242,4.05787
0.0628516,1.8847
0.0632132,2.39835
0.062798,3.79244
0.0617232,-0.337291
0.0638612,0.0311477
0.0634783,-1.65763
0.061844,-2.25039
0.0622238,4.85838
0.0618088,-1.16207
0.0620209,1.95496
0.0644965,-0.388819
0.0615066,7.21817
0.0638093,-0.762027
0.0632849,4.47917
0.0628115,-1.11701
0.0636494,0.100235
0.0621821,1.87405
0.0643208,-1.81827
0.0633953,-2.27382
0.0606747,1.49033
0.0622551,-1.36546
0.062895,0.727159
0.0618121,-0.313748
0.0612775,-0.377149
0.061879,5.69917
0.062694,1.69711
0.0625421,1.00667
0.0627917,-1.37782
0.0611259,-2.13296
0.0627981,1.61575
0.0645205,3.34021
0.0613681,2.31756
0.0610266,0.596807
0.0605954,-0.667853
0.0616383,0.362212
0.0620758,3.37227
0.063131,-2.38089
0.0644426,5.71831
0.0626067,-2.56427
0.0648699,2.34184
0.0614342,13.1206
0.0622529,1.22421
0.0623944,3.37472
0.0619139,0.565788
0.0614821,0.343236
0.0624237,7.19954
0.0610315,4.85697
0.0603686,-3.04206
0.0626397,-1.15476
0.0641239,4.01679
0.0616584,-1.17566
0.062904,3.54745
0.0613794,3.86108
0.0613454,4.05759
0.0633561,-0.272895
0.061369,1.24053
0.0615857,1.0032
0.061048,1.99503
0.0619737,2.65517
0.06092,5.03109
0.0624404,4.44577
0.0626275,2.75003
0.0628522,2.39273
0.0607353,-0.96343
0.065567,7.88676
0.0619802,-1.03548
0.0624976,-0.660206
0.0611208,7.81458
0.063341,0.854051
0.060888,2.87208
0.0619861,1.43304
0.0623053,-1.33018
0.0631859,-0.187062
0.0631647,-1.68991
0.0635271,-3.87192
0.0619274,-1.57566
0.0624493,5.36648
0.0625145,0.834707
0.0636271,2.43902
0.0629193,1.86792
0.0619897,1.52553
0.0628671,0.61125
0.062824,-0.0677043
0.0616775,-1.53413
0.0618595,-2.90695
0.0644199,-0.162549
0.0619008,0.605274
0.0632845,-3.338
0.0602183,0.522407
0.0639354,-1.41835
0.0637933,2.28581
0.0624752,3.81627
0.0622067,5.74683
0.0634038,3.98314
0.0623533,-5.39785
0.0625339,-0.271273
0.0625476,1.48716
0.0644066,1.38745
0.0627415,2.74087
0.0616332,0.775438
0.0611461,-1.28728
0.0621206,-1.02313
0.0627092,1.32679
0.063351,0.950312
0.0617511,4.15481
0.0627583,-3.36939
0.0636677,-0.0564457
0.0612153,3.69773
0.0615108,-3.13539
0.0626441,3.88074
0.0617806,0.821669
0.0627276,6.0936
0.0621365,1.41866
0.0643281,-4.26973
0.0620864,-2.07284
0.0609863,-1.89463
0.0634042,2.50123
0.0610545,6.75682
0.0611326,6.03009
0.062547,-0.0371777
0.0613185,4.33222
0.0605269,-0.114191
0.0607483,6.48947
0.061212,-0.833221
0.0604794,2.21371
0.0620745,-1.63365
0.0617712,1.36683
0.0630755,4.96475
0.0637751,-1.61252
0.0603848,3.53318
0.062914,0.376286
0.0618171,5.73447
0.0622665,-0.99253
0.0632042,-0.744593
0.0617668,-0.996272
0.0609949,-1.03311
0.0601185,1.09396
0.0617224,1.50727
0.0632182,3.32503
0.0634727,6.01029
0.0618785,-0.349792
0.0622081,1.97152
0.0617828,4.14374
0.0636227,0.298848
0.063233,1.27717
0.0627769,-0.231128
0.0607635,-0.0588707
0.0624301,3.03844
0.0620913,6.28155
0.0628811,0.811516
0.0627166,4.1745
0.0624877,-0.418017
0.0622712,2.9701
0.0614691,4.74673
0.0618251,-1.44404
0.0634902,1.28767
0.0629131,1.26859
0.061911,-2.0707
0.0615998,-0.167133
0.0620069,2.8546
0.0627264,-3.13237
0.0612462,-0.608822
0.0633466,-3.5927
0.0606931,-0.302467
0.0639175,2.05106
0.0613114,0.0636603
0.0609722,4.27836
0.0623151,1.01082
0.0617006,2.22324
0.0626011,2.48717
0.061676,1.29044
0.0598439,-0.522692
0.0610309,0.672358
0.0610651,1.80258
0.0640002,0.145194
0.0641203,-4.01113
0.0610166,4.4768
0.0625729,5.25922
0.0633283,3.79174
0.0614215,-0.18479
0.0620395,-2.46277
0.0613674,-0.385758
0.0643059,3.36957
0.0649412,0.341252
0.0610474,-4.60906
0.0626692,5.74444
0.0609387,6.07416
0.0633166,0.142426
0.0624039,1.94582
0.0619695,2.68967
0.0640449,-3.79109
0.0631399,1.81172
0.0610381,0.375646
0.0618131,7.57609
0.0616674,4.26372
0.0619481,-3.29121
0.0614007,1.63369
0.060978,2.05386
0.0630325,-0.263995
0.0638034,9.85419
0.0636466,1.08762
0.0624228,-1.61109
0.0611776,3.38057
0.0628258,4.90045
0.0609835,0.667154
0.0613212,3.41834
0.0623673,2.30944
0.0619327,-1.2978
0.0617646,-3.95071
0.0628624,-0.367684
0.0606502,7.05963
0.0623014,2.23417
0.063803,0.818854
0.0628631,-2.32335
0.0602462,3.13741
0.0626313,-0.580441
0.0615421,1.65305
0.0632081,2.18637
0.0627283,-2.66518
0.0610113,0.814387
0.0611144,-0.38083
0.062988,-0.132016
0.0618768,-0.641159
0.061612,4.08778
0.0613756,0.275832
0.0612844,1.37451
0.0636089,-3.60069
0.0645002,-0.719025
0.0640919,0.980314
0.0626277,2.98225
0.0639853,-2.76915
0.0626265,2.80793
0.0615808,0.107576
0.0625133,1.30675
0.0619476,-0.435989
0.0601095,5.81786
0.0594626,0.768512
0.060924,0.786219
0.0646195,-2.55774
0.0610922,2.96306
0.0625956,3.58849
0.0621707,4.76909
0.0627591,2.5617
0.0623333,-1.60827
0.0637983,-1.49088
0.0636264,-0.370551
0.0633184,4.64312
0.0631401,2.04283
0.0629738,0.33351
0.0604429,0.0113171
0.0618462,-1.19643
0.0619949,-2.63341
0.0607543,6.58774
0.061688,0.721158
0.062188,-0.00761454
0.0632878,-0.788258
0.0637666,-0.666039
0.0613616,1.69591
0.0618699,-8.04425
0.063417,1.95545
0.0631021,4.70906
0.0614102,3.20527
0.0633338,1.63931
0.0612428,1.11707
0.0618923,-2.40404
0.0623846,2.38686
0.0629928,5.18769
0.0606484,4.0702
0.062411,-0.334982
0.0619013,5.80489
0.0629737,11.7675
0.0603785,-1.72779
0.0628001,3.13075
0.0625728,-0.30443
0.0603392,0.715144
0.0648274,-2.59089
0.0646253,3.96112
0.0627503,4.35755
0.0625652,0.989824
0.0618935,1.20354
0.0616064,3.65095
0.0623058,-1.53769
0.0643463,0.835798
0.0622253,0.242275
0.0626062,2.27556
0.0634544,1.18174
0.061862,-1.27254
0.0632325,0.878422
0.0618749,-0.0991212
0.0609981,2.21392
0.0615353,0.567782
0.0617211,2.71766
0.0625878,-0.039802
0.0633225,8.67372
0.0607861,1.5175
0.0639832,0.0136732
0.0618533,-0.685662
0.0632126,-4.61571
0.0612458,5.84982
0.060646,2.18038
0.0637925,0.254663
0.0638671,1.26122
0.0630907,-0.869891
0.0627712,4.74318
0.0625896,2.2948
0.0624472,4.16791
0.06283,-1.86036
0.0616485,4.56598
0.0638618,2.01284
0.0637701,0.391567
0.0619736,-1.42806
0.0613401,1.68848
0.0614347,-2.56558
0.0617583,14.9119
0.0634873,2.83195
0.0623729,-3.14423
0.0619349,-1.45667
0.0615525,-1.18314
0.0615271,3.37654
0.0643107,0.969701
0.0627519,8.32855
0.0623753,-0.328509
0.0627198,2.68586
0.061115,-0.18196
0.0634309,-1.04211
0.0597469,-1.15321
0.0626868,0.688546
0.0629159,2.17591
0.0638251,1.13804
0.0608102,-1.43469
0.0625877,1.86491
0.0634615,2.50474
0.0609183,0.305657
0.061067,-0.226023
0.0626646,14.1335
0.0624299,-1.23449
0.0629595,3.75064
0.0618341,3.19527
0.0616074,-2.02595
0.0622719,0.375794
0.0616911,0.716749
0.0621383,-1.272
0.0643813,0.273766
0.0619348,1.62571
0.0633646,4.31414
0.0636602,2.15109
0.0611886,0.147434
0.062257,4.94092
0.0627189,3.61688
0.0624581,0.439813
0.0608099,6.79758
0.0613186,-1.4169
0.0629937,0.180712
0.0611451,-1.47311
0.0606546,1.60667
0.0625459,-1.9792
0.0632161,-5.60113
0.0603035,0.206748
0.0603029,1.21773
0.0617116,14.0135
0.0630097,2.4583
0.0619512,-0.300245
0.0610711,0.6335
0.0644169,1.48769
0.0617598,1.97748
0.0608837,1.24025
0.0631141,0.280574
0.0630636,0.242983
0.0603488,-0.599563
0.0622331,6.58152
0.0629004,4.96577
0.062957,1.29477
0.0607845,-0.639453
0.0639093,3.16965
0.0623824,2.32472
0.0611507,0.0554177
0.0617915,0.547249
0.0622125,-0.121115
0.0609492,-0.240181
0.0638609,-0.352799
0.0595745,-3.90708
0.0609018,1.72813
0.0620261,0.532098
0.061722,1.68126
0.0621372,-3.45941
0.0612739,-1.71257
0.0636176,-1.39495
0.0613247,0.545611
0.0616274,-0.848522
0.062906,6.52724
0.0611586,1.0752
0.0638762,1.96806
0.0631511,-3.27597
0.0620086,0.278849
0.0618101,1.47149
0.0611121,-0.836904
0.0606186,-1.29128
0.0631742,4.57499
0.0629303,3.93214
0.0618679,6.66222
0.0617357,-1.69566
0.0617268,3.21787
0.0620028,-0.48995
0.0620956,1.80283
0.0627113,0.445556
0.0616626,0.0931959
0.0632069,-0.0468929
0.0619286,5.27682
0.0644742,7.59701
0.0631222,1.75075
0.0627462,1.41528
0.0611585,1.96164
0.0619276,-4.06512
0.0621415,3.75395
0.0616993,3.05145
0.0615736,-2.29431
0.0635343,-1.44461
0.0638332,-2.00857
0.0626381,1.2983
0.0637451,0.578339
0.0628015,0.544207
0.0622599,1.49881
0.0621406,-1.78222
0.0632228,2.57849
0.0605595,3.05501
0.0623338,-0.204422
0.061918,2.35931
0.0626088,8.09205
0.0629524,4.23985
0.0620083,2.16211
0.0625036,1.64072
0.0631172,6.73868
0.0630062,-0.900444
0.0614873,-3.20038
0.0610871,-3.55943
0.0610285,4.1091
0.0619861,4.30361
0.062026,0.709278
0.0632114,1.40203
0.0613887,4.14275
0.0622617,-3.30155
0.0615491,0.334563
0.0632839,-1.49661
0.0621184,14.1751
0.0630119,2.08838
0.0620783,-0.12841
0.0625034,2.38381
0.0632613,1.86891
0.0631071,2.02419
0.0609391,1.24094
0.0617204,1.951
0.0611314,0.379308
0.0630445,-0.123586
0.0622231,0.0692143
0.0642918,-0.698352
0.0606576,0.0111636
0.0609853,5.49487
0.0633133,3.8425
0.0619196,4.24212
0.0606463,1.10043
0.0615528,-0.582836
0.059884,-0.679691
0.0621199,0.531865
0.0631162,1.68835
0.0616622,1.07339
0.0624859,-2.54958
0.0605385,-2.76076
